,,,,,
OCCUPATION,"ENTRY-LEVEL
EDUCATION","ON-THE-JOB
TRAINING","PROJECTED NUMBER
OF NEW JOBS","PROJECTED
GROWTH RATE",2021 MEDIAN PAY
* Emergency medicine physicians*,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
* Family medicine physicians*,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
* General internal medicine physicians*,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
* Neurologists*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
* Obstetricians and gynecologists*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
"* Pediatricians, general*",Doctoral or professional degree,Internship/residency,0 to 999,Little or no change,"$80,000 or more"
"* Physicians, pathologists*",Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
* Psychiatrists*,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Radiologists*,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",As fast as average,"$80,000 or more"
"* Physicians, all other*",Doctoral or professional degree,Internship/residency,"5,000 to 9,999",Slower than average,"$80,000 or more"
* Nurse practitioners*,Master’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Audiologists*,Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Ophthalmologists, except pediatric*",Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
"* Orthopedic surgeons, except pediatric*",Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
* Pediatric surgeons*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
"* Surgeons, all other*",Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
* Acupuncturists*,Master’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
* Dental hygienists*,Associate’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"* Healthcare diagnosing or treating practitioners, all other*",Master’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Clinical laboratory technologists and technicians*,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Cardiovascular technologists and technicians*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Diagnostic medical sonographers*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Nuclear medicine technologists*,Associate’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Radiologic technologists and technicians*,Associate’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
* Magnetic resonance imaging technologists*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Medical dosimetrists*,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
* Emergency medical technicians*,Postsecondary nondegree award,None,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
* Paramedics*,Postsecondary nondegree award,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
* Dietetic technicians*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"Less than $30,000"
* Pharmacy technicians*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
* Psychiatric technicians*,Postsecondary nondegree award,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
* Surgical technologists*,Postsecondary nondegree award,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
* Veterinary technologists and technicians*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
* Ophthalmic medical technicians*,Postsecondary nondegree award,None,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
* Licensed practical and licensed vocational nurses*,Postsecondary nondegree award,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Medical records specialists*,Postsecondary nondegree award,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"* Opticians, dispensing*",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Orthotists and prosthetists*,Master’s degree,Internship/residency,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
* Hearing aid specialists*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Health technologists and technicians, all other*",Postsecondary nondegree award,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
* Health information technologists and medical registrars*,Associate’s degree,None,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
* Athletic trainers*,Master’s degree,None,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
* Surgical assistants*,Postsecondary nondegree award,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Healthcare practitioners and technical workers, all other*",Postsecondary nondegree award,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Home health and personal care aides*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
* Nursing assistants*,Postsecondary nondegree award,None,"50,000 or more",As fast as average,"$30,000 to $39,999"
* Orderlies*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"Less than $30,000"
* Psychiatric aides*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Occupational therapy assistants*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Occupational therapy aides*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Much faster than average,"$30,000 to $39,999"
* Physical therapist assistants*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Physical therapist aides*,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Much faster than average,"Less than $30,000"
* Genetic counselors*,Master’s degree,None,0 to 999,Much faster than average,"$80,000 or more"
* Coaches and scouts*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
"* Umpires, referees, and other sports officials*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
* Dancers*,No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,The annual wage is not available.
* Choreographers*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Music directors and composers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Musicians and singers*,No formal educational credential,Long-term on-the-job training,"5,000 to 9,999",As fast as average,The annual wage is not available.
"* Disc jockeys, except radio*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,The annual wage is not available.
"* Entertainers and performers, sports and related workers, all other*",No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",Much faster than average,The annual wage is not available.
* Broadcast announcers and radio disc jockeys*,Bachelor’s degree,None,Declining,Decline,"$30,000 to $39,999"
"* News analysts, reporters, and journalists*",Bachelor’s degree,None,Declining,Decline,"$40,000 to $59,999"
* Public relations specialists*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
* Editors*,Bachelor’s degree,None,Declining,Decline,"$60,000 to $79,999"
* Technical writers*,Bachelor’s degree,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Writers and authors*,Bachelor’s degree,Long-term on-the-job training,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Interpreters and translators*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Court reporters and simultaneous captioners*,Postsecondary nondegree award,Short-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
"* Media and communication workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Audio and video technicians*,Postsecondary nondegree award,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Broadcast technicians*,Associate’s degree,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Sound engineering technicians*,Postsecondary nondegree award,Short-term on-the-job training,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
* Lighting technicians*,Postsecondary nondegree award,Short-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
* Photographers*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
"* Camera operators, television, video, and film*",Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Film and video editors*,Bachelor’s degree,None,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
"* Media and communication equipment workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Chiropractors*,Doctoral or professional degree,None,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
"* Dentists, general*",Doctoral or professional degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
* Oral and maxillofacial surgeons*,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
* Orthodontists*,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
"* Business teachers, postsecondary*",Doctoral or professional degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
"* Computer science teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Mathematical science teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Architecture teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$80,000 or more"
"* Engineering teachers, postsecondary*",Doctoral or professional degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
"* Agricultural sciences teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
"* Biological science teachers, postsecondary*",Doctoral or professional degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
"* Forestry and conservation science teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$80,000 or more"
"* Atmospheric, earth, marine, and space sciences teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
"* Chemistry teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Environmental science teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$80,000 or more"
"* Physics teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
"* Anthropology and archeology teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$80,000 or more"
"* Area, ethnic, and cultural studies teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Economics teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
"* Geography teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$80,000 or more"
"* Political science teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
"* Psychology teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Sociology teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Social sciences teachers, postsecondary, all other*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Health specialties teachers, postsecondary*",Doctoral or professional degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
"* Nursing instructors and teachers, postsecondary*",Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"* Education teachers, postsecondary*",Doctoral or professional degree,None,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
"* Library science teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,Faster than average,"$60,000 to $79,999"
"* Criminal justice and law enforcement teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Law teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
"* Social work teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Art, drama, and music teachers, postsecondary*",Master’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"* Communications teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* English language and literature teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Foreign language and literature teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* History teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Philosophy and religion teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Family and consumer sciences teachers, postsecondary*",Doctoral or professional degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
"* Recreation and fitness studies teachers, postsecondary*",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Career/technical education teachers, postsecondary*",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"* Postsecondary teachers, all other*",Doctoral or professional degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Preschool teachers, except special education*",Associate’s degree,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"* Kindergarten teachers, except special education*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
"* Elementary school teachers, except special education*",Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
"* Middle school teachers, except special and career/technical education*",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Career/technical education teachers, middle school*",Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
"* Secondary school teachers, except special and career/technical education*",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Career/technical education teachers, secondary school*",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"* Special education teachers, preschool*",Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Special education teachers, kindergarten and elementary school*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
"* Special education teachers, middle school*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Special education teachers, secondary school*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
"* Special education teachers, all other*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Adult basic education, adult secondary education, and english as a second 
language instructors*",Bachelor’s degree,None,Declining,Decline,"$40,000 to $59,999"
* Self-enrichment teachers*,High school diploma or equivalent,None,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"* Substitute teachers, short-term*",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
* Tutors*,"Some college, no degree",None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
"* Teachers and instructors, all other*",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
* Archivists*,Master’s degree,None,0 to 999,Faster than average,"$60,000 to $79,999"
* Curators*,Master’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
* Museum technicians and conservators*,Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Librarians and media collections specialists*,Master’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Library technicians*,Postsecondary nondegree award,None,Declining,Decline,"$30,000 to $39,999"
* Farm and home management educators*,Master’s degree,None,0 to 999,Little or no change,"$40,000 to $59,999"
* Instructional coordinators*,Master’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Teaching assistants, postsecondary*",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
"* Teaching assistants, except postsecondary*","Some college, no degree",None,"50,000 or more",As fast as average,"Less than $30,000"
"* Educational instruction and library workers, all other*",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Electrical engineers*,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
"* Electronics engineers, except computer*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
* Environmental engineers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"* Health and safety engineers, except mining safety engineers and 
inspectors*",Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Industrial engineers*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
* Marine engineers and naval architects*,Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Materials engineers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Mechanical engineers*,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$80,000 or more"
"* Mining and geological engineers, including mining safety engineers*",Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
* Nuclear engineers*,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
* Petroleum engineers*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
"* Engineers, all other*",Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Architectural and civil drafters*,Associate’s degree,None,Declining,Little or no change,"$60,000 to $79,999"
* Electrical and electronics drafters*,Associate’s degree,None,0 to 999,Little or no change,"$60,000 to $79,999"
* Mechanical drafters*,Associate’s degree,None,Declining,Decline,"$60,000 to $79,999"
* Computer hardware engineers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"* Drafters, all other*",Associate’s degree,None,Declining,Decline,"$40,000 to $59,999"
* Aerospace engineering and operations technologists and technicians*,Associate’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
* Industrial-organizational psychologists*,Master’s degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
* Clinical and counseling psychologists*,Doctoral or professional degree,Internship/residency,"5,000 to 9,999",Faster than average,"$80,000 or more"
* School psychologists*,Master’s degree,Internship/residency,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Psychologists, all other*",Master’s degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
* Sociologists*,Master’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Urban and regional planners*,Master’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Anthropologists and archeologists*,Master’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
* Geographers*,Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Historians*,Master’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
* Political scientists*,Master’s degree,None,0 to 999,As fast as average,"$80,000 or more"
"* Social scientists and related workers, all other*",Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
* Agricultural technicians*,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Food science technicians*,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Biological technicians*,Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
* Chemical technicians*,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Geological technicians, except hydrologic technicians*",Associate’s degree,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
* Hydrologic technicians*,Associate’s degree,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
* Nuclear technicians*,Associate’s degree,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
* Social science research assistants*,Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Forest and conservation technicians*,Associate’s degree,None,Declining,Decline,"$30,000 to $39,999"
* Forensic science technicians*,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
"* Life, physical, and social science technicians, all other*",Associate’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Occupational health and safety specialists*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Occupational health and safety technicians*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Educational, guidance, and career counselors and advisors*",Master’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
* Marriage and family therapists*,Master’s degree,Internship/residency,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
* Rehabilitation counselors*,Master’s degree,None,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
"* Substance abuse, behavioral disorder, and mental health counselors*",Bachelor’s degree,None,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"* Environmental science and protection technicians, including health*",Associate’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Counselors, all other*",Master’s degree,None,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
"* Child, family, and school social workers*",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
* Healthcare social workers*,Master’s degree,Internship/residency,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Mental health and substance abuse social workers*,Master’s degree,Internship/residency,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
"* Social workers, all other*",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Health education specialists*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
* Probation officers and correctional treatment specialists*,Bachelor’s degree,Short-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
* Social and human service assistants*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"$30,000 to $39,999"
* Community health workers*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
"* Community and social service specialists, all other*",Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
* Clergy*,Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"* Directors, religious activities and education*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
"* Religious workers, all other*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Lawyers*,Doctoral or professional degree,None,"50,000 or more",Faster than average,"$80,000 or more"
* Judicial law clerks*,Doctoral or professional degree,None,Declining,Little or no change,"$40,000 to $59,999"
"* Administrative law judges, adjudicators, and hearing officers*",Doctoral or professional degree,Short-term on-the-job training,Declining,Decline,"$80,000 or more"
"* Arbitrators, mediators, and conciliators*",Bachelor’s degree,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
"* Judges, magistrate judges, and magistrates*",Doctoral or professional degree,Short-term on-the-job training,Declining,Little or no change,"$80,000 or more"
* Paralegals and legal assistants*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
